Iteration,User CPU Usage (%),System CPU Usage (%),I/O waite CPU Usage (%),Memory Usage (%),Disk Read Speed (MB/s),Disk Write Speed (MB/s)
1,12.4,1.0,0.0,19.43,11.48,6.44
2,11.6,0.4,23.5,19.60,10.57,38.99
3,12.1,0.4,30.2,19.61,3.93,12.58
4,12.5,0.3,30.8,19.62,10.71,45.38
5,11.7,0.4,32.0,19.61,9.78,78.55
6,15.4,0.6,40.4,19.64,10.72,42.92
7,12.6,0.6,28.4,19.65,5.70,44.82
8,14.5,2.2,27.7,19.68,6.72,42.41
9,10.7,0.2,36.8,19.69,0.00,0.00
10,10.3,0.5,43.1,19.69,3.18,40.31
11,9.9,0.3,29.3,19.69,1.16,8.04
